theta,x,y,alpha,beta,a,b,l,lp,abs(l-lp),
0.010472,0.999945,0.0104718,0.00104718,1.58022,0.00942508,0.00104722,1.23455,1.23457,1.21845e-05,
0.020944,0.999781,0.0209424,0.00209424,1.58965,0.0188519,0.00209461,1.23451,1.23455,3.65515e-05,
0.0314159,0.999507,0.0314108,0.00314107,1.59907,0.0282824,0.00314232,1.23444,1.23451,6.09129e-05,
0.0418879,0.999123,0.0418757,0.00418754,1.6085,0.0377182,0.00419051,1.23435,1.23443,8.52651e-05,
0.0523599,0.99863,0.052336,0.00523355,1.61792,0.0471612,0.00523934,1.23423,1.23434,0.000109604,
0.0628319,0.998127,0.0627968,0.00628023,1.62735,0.056612,0.00629087,1.23438,1.23429,8.82199e-05,
0.0733038,0.997513,0.0732528,0.0073266,1.63677,0.0660731,0.00734397,1.2345,1.23444,6.16299e-05,
0.0837758,0.996789,0.0837027,0.00837256,1.6462,0.0755465,0.00839881,1.23459,1.23455,3.50629e-05,
0.0942478,0.995954,0.0941454,0.00941797,1.65563,0.0850339,0.00945554,1.23465,1.23464,8.52246e-06,
0.10472,0.995009,0.10458,0.0104627,1.66505,0.0945372,0.0105143,1.23468,1.2347,1.79875e-05,
0.115192,0.993954,0.115004,0.0115067,1.67448,0.104058,0.0115753,1.23468,1.23472,4.44634e-05,
0.125664,0.992789,0.125418,0.0125497,1.68391,0.113599,0.0126387,1.23465,1.23472,7.09014e-05,
0.136136,0.991513,0.13582,0.0135917,1.69334,0.123161,0.0137046,1.23459,1.23468,9.72978e-05,
0.146608,0.990227,0.146224,0.0146355,1.70277,0.132744,0.0147776,1.2348,1.2347,9.84608e-05,
0.15708,0.988829,0.156615,0.0156783,1.7122,0.142351,0.015854,1.23497,1.2349,6.9818e-05,
0.167552,0.987321,0.166993,0.0167202,1.72163,0.151986,0.0169341,1.23512,1.23507,4.12274e-05,
0.178024,0.985702,0.177356,0.0177608,1.73106,0.161649,0.018018,1.23523,1.23521,1.26927e-05,
0.188496,0.983972,0.187703,0.0188002,1.74049,0.171343,0.0191058,1.2353,1.23532,1.57821e-05,
0.198968,0.982131,0.198032,0.0198382,1.74993,0.18107,0.0201977,1.23535,1.23539,4.41931e-05,
0.20944,0.980181,0.208344,0.0208747,1.75936,0.190832,0.021294,1.23536,1.23543,7.25364e-05,
0.219911,0.97812,0.218636,0.0219094,1.7688,0.200631,0.0223947,1.23534,1.23544,0.000100808,
0.230383,0.976047,0.22893,0.022947,1.77823,0.210464,0.0235071,1.23559,1.23549,9.30853e-05,
0.240855,0.973863,0.239204,0.023983,1.78767,0.220338,0.0246249,1.2358,1.23573,6.25702e-05,
0.251327,0.971568,0.249456,0.0250173,1.79711,0.230255,0.0257483,1.23597,1.23594,3.21376e-05,
0.261799,0.969163,0.259686,0.0260498,1.80655,0.240216,0.0268776,1.23611,1.23611,1.79171e-06,
0.272271,0.966647,0.269893,0.0270803,1.81599,0.250226,0.0280128,1.23621,1.23624,2.84635e-05,
0.282743,0.964021,0.280074,0.0281087,1.82543,0.260285,0.0291542,1.23628,1.23634,5.86238e-05,
0.293215,0.961285,0.290229,0.0291349,1.83488,0.270395,0.0303019,1.23631,1.2364,8.86853e-05,
